City,Country,Latitude,Longitude,Temperature (C),Cloudiness (%),Humidity (%),Wind speed (m/s),Datetime
Iqaluit,CA,63.7506,-68.5145,-14.15,90,71,2.68,1639905703
Ferrol,ES,43.4832,-8.2369,9.29,7,67,3.05,1639905705
Port Alfred,ZA,-33.5906,26.891,23.61,100,64,8.57,1639905708
Kavieng,PG,-2.5744,150.7967,28.22,100,77,5.32,1639905710
Bredasdorp,ZA,-34.5322,20.0403,25.16,100,64,3.6,1639905713
Mayo,US,38.8876,-76.5119,12.44,90,72,3.13,1639905715
Punta Arenas,CL,-53.15,-70.9167,7.06,75,57,6.69,1639905375
Caravelas,BR,-17.7125,-39.2481,23.3,93,94,1.1,1639905720
Severo-Kuril'sk,RU,50.6789,156.125,-2.23,100,93,2.72,1639905724
Dikson,RU,73.5069,80.5464,-32.66,93,96,1.75,1639905726
Hermanus,ZA,-34.4187,19.2345,26.61,100,65,4.3,1639905729
Panabá,MX,21.2833,-88.2667,21.31,53,95,2.37,1639905731
Kargil,IN,34.5667,76.1,-12.63,98,31,1.11,1639905736
Puerto Colombia,CO,10.9878,-74.9547,25.77,100,84,5.82,1639905739
Provincia di Ancona,IT,43.55,13.1667,10.37,0,93,1.54,1639905742
Busselton,AU,-33.65,115.3333,27.27,0,46,5.98,1639905745
Stilling,DK,56.0622,9.9882,8.07,16,86,4.47,1639905747
Waingapu,ID,-9.6567,120.2641,29.52,98,75,3.27,1639905750
Zhanakorgan,KZ,43.9098,67.2495,8.9,100,30,4.72,1639905754
Saint Paul Harbor,US,57.79,-152.4072,-0.72,77,81,3.39,1639905762
Okhotsk,RU,59.3833,143.3,-22.23,95,95,4.17,1639905766
La Palma,US,33.8464,-118.0467,16.06,1,81,0.0,1639905771
Port Lincoln,AU,-34.7333,135.8667,16.15,78,54,7.24,1639905776
Kānt,IN,27.8,79.8,18.81,3,26,4.13,1639905781
Marawi,PH,7.9986,124.2928,23.69,79,96,1.72,1639905786
Maceió,BR,-9.6658,-35.7353,24.69,0,94,2.06,1639905577
Lüderitz,NA,-26.6481,15.1594,20.38,26,63,4.89,1639905794
Sayán,PE,-11.1361,-77.1933,19.3,36,84,0.47,1639905798
Río Gallegos,AR,-51.6226,-69.2181,8.03,20,76,7.2,1639905699
Atuona,PF,-9.8,-139.0333,25.36,7,75,6.58,1639905805
Jalu,LY,29.0331,21.5482,11.94,97,66,8.45,1639905807
Cave Spring,US,37.2276,-80.0128,13.55,90,76,0.45,1639905810
Touros,BR,-5.1989,-35.4608,24.5,77,75,5.09,1639905815
Thompson,CA,55.7435,-97.8558,-24.91,90,84,2.06,1639905818
Port Elizabeth,ZA,-33.918,25.5701,29.5,0,60,5.14,1639905820
Abhā,SA,18.2164,42.5053,22.9,0,28,4.12,1639905823
Dickinson,US,29.4608,-95.0513,12.21,90,86,2.68,1639905826
Arraial do Cabo,BR,-22.9661,-42.0278,22.92,40,83,2.57,1639905828
Nong Chik,TH,6.8436,101.178,23.36,100,93,2.18,1639905833
Codrington,AU,-38.2667,141.9667,14.92,52,53,8.28,1639905836
Tiksi,RU,71.6872,128.8694,-26.49,100,100,2.36,1639905838
Humaitá,BR,-7.5061,-63.0208,22.84,100,99,0.88,1639905842
Ilulissat,GL,69.2167,-51.1,-0.99,100,64,4.12,1639905846
Mar del Plata,AR,-38.0023,-57.5575,19.93,0,91,10.73,1639905849
Three Hills,CA,51.7001,-113.2686,-10.84,89,85,3.6,1639905851
Dingle,PH,10.9995,122.6711,27.07,100,86,3.48,1639905853
Yellowknife,CA,62.456,-114.3525,-29.84,1,77,1.54,1639905651
Alice Springs,AU,-23.7,133.8833,39.75,40,12,7.2,1639905643
Ancud,CL,-41.8697,-73.8203,12.46,15,95,1.03,1639905860
Sambava,MG,-14.2667,50.1667,30.92,34,64,4.35,1639905863
Port Hedland,AU,-20.3167,118.5667,40.03,6,27,6.17,1639905865
Pilar,BR,-9.5972,-35.9567,23.96,15,82,2.37,1639905868
Coquimbo,CL,-29.9533,-71.3436,14.85,90,94,3.09,1639905870
Vaini,TO,-21.2,-175.2,27.09,20,94,2.57,1639905873
Krasne,UA,49.9145,24.6134,3.64,100,90,9.35,1639905877
Qaanaaq,GL,77.484,-69.3632,-11.86,72,70,4.17,1639905884
Lavrentiya,RU,65.5833,-171.0,-10.29,100,96,4.91,1639905887
Chui,UY,-33.6971,-53.4616,17.08,0,83,3.65,1639905892
Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,22.85,100,95,1.87,1639905896
Qui Nhon,VN,13.7667,109.2333,21.51,100,87,10.64,1639905899
Gladstone,AU,-23.85,151.25,26.96,40,69,4.63,1639905901
Souillac,MU,-20.5167,57.5167,30.21,40,62,4.12,1639905904
Guarujá,BR,-23.9931,-46.2564,24.38,35,26,0.45,1639905906
Lahaina,US,20.8783,-156.6825,23.86,21,94,4.35,1639905816
Bengkulu,ID,-3.8004,102.2655,27.15,100,80,4.4,1639905916
Portland,US,45.5234,-122.6762,3.58,90,94,0.0,1639905735
Mount Gambier,AU,-37.8333,140.7667,14.95,40,51,8.23,1639905921
Esperance,AU,-33.8667,121.9,20.91,2,58,4.73,1639905926
Almaznyy,RU,48.0448,40.045,0.08,100,70,9.11,1639905929
Bodden Town,KY,19.2833,-81.25,25.52,1,92,3.41,1639905933
Airai,TL,-8.9266,125.4092,19.35,95,90,0.41,1639905935
Chicama,PE,-7.8447,-79.1469,15.3,91,89,2.1,1639905939
Clyde River,CA,70.4692,-68.5914,-14.87,100,85,2.57,1639905942
Bethel,US,41.3712,-73.414,5.32,90,91,2.06,1639905946
Chokurdakh,RU,70.6333,147.9167,-41.06,84,100,0.76,1639905948
Aykhal,RU,66.0,111.5,-41.44,99,100,4.0,1639905953
Istok,XK,42.7808,20.4875,1.51,58,70,0.17,1639905955
Senanga,ZM,-16.1167,23.2667,22.1,100,81,3.33,1639905960
Kieta,PG,-6.2167,155.6333,27.06,100,81,0.91,1639905962
Guerrero Negro,MX,27.9769,-114.0611,13.1,0,47,1.48,1639905965
Hithadhoo,MV,-0.6,73.0833,28.1,98,72,1.64,1639905967
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,24.12,100,95,0.93,1639905970
Barranca,PE,-10.75,-77.7667,18.85,88,87,2.71,1639905972
Kropachëvo,RU,55.0112,57.9896,-1.81,100,86,3.21,1639905974
George Town,MY,5.4112,100.3354,27.96,20,83,1.03,1639905691
Ubari,LY,26.5921,12.7805,12.32,0,42,3.18,1639905981
Tutóia,BR,-2.7619,-42.2744,26.99,97,77,5.6,1639905983
Lebu,CL,-37.6167,-73.65,12.24,35,93,7.46,1639905990
Langham,CA,52.3668,-106.9679,-13.88,96,95,4.16,1639905992
Katobu,ID,-4.9408,122.5276,28.2,100,81,1.46,1639906000
Chumikan,RU,54.7183,135.315,-25.52,10,88,7.1,1639906005
Rapid Valley,US,44.0625,-103.1463,7.25,1,58,2.24,1639906010
Fallon,US,39.4735,-118.7774,-3.07,90,93,0.0,1639905758
Tasiilaq,GL,65.6145,-37.6368,-0.91,100,96,4.29,1639906017
Castro,BR,-24.7911,-50.0119,15.69,99,86,3.94,1639906019
Northam,GB,51.0333,-4.2167,8.34,57,92,5.13,1639906023
Wewak,PG,-3.5534,143.6268,27.86,64,83,6.57,1639906026
Lagoa,PT,39.05,-27.9833,16.06,61,74,4.43,1639906029
Alta Floresta,BR,-9.8756,-56.0861,21.54,100,99,0.69,1639906031
Klaksvík,FO,62.2266,-6.589,6.51,100,72,4.17,1639906038
Papillion,US,41.1544,-96.0422,-7.05,1,82,1.34,1639905950
Malbork,PL,54.0359,19.0266,6.18,38,84,7.04,1639906043
Kahului,US,20.8947,-156.47,22.69,90,89,5.66,1639906049
Lompoc,US,34.6391,-120.4579,10.62,1,86,1.54,1639906051
Katangli,RU,51.7102,143.2326,-22.17,5,95,4.96,1639906054
Tuktoyaktuk,CA,69.4541,-133.0374,-29.51,38,98,2.68,1639906063
Pospelikha,RU,51.95,81.7667,-6.09,100,87,3.11,1639906068
Tadine,NC,-21.55,167.8833,25.51,70,87,6.56,1639906071
Upernavik,GL,72.7868,-56.1549,-1.61,100,63,2.66,1639906074
Bubaque,GW,11.2833,-15.8333,25.02,9,49,8.87,1639906077
Prado,BR,-17.3411,-39.2208,23.75,100,92,1.97,1639906081
Camacupa,AO,-12.0167,17.4833,18.19,100,93,2.94,1639906083
Port Blair,IN,11.6667,92.75,27.95,72,70,5.12,1639906086
Takāb,IR,36.4009,47.1133,4.66,1,42,2.84,1639906092
Ambon City,ID,-3.6954,128.1814,29.75,97,72,2.37,1639906094
Khatanga,RU,71.9667,102.5,-28.97,99,94,3.61,1639906097
Russell,US,32.3502,-85.1999,17.29,90,95,1.54,1639906099
Faya,SA,18.3851,42.4509,23.06,22,38,2.92,1639906107
Hornepayne,CA,49.2138,-84.7705,-16.66,15,97,0.54,1639906111
Concord,US,37.978,-122.0311,7.14,90,93,1.54,1639906038
Saskylakh,RU,71.9167,114.0833,-21.92,100,98,3.67,1639906120
Torbay,CA,47.6666,-52.7314,-4.68,75,75,10.8,1639906128
Terrace,CA,54.5163,-128.6035,-11.05,1,79,10.29,1639906130
Mago,RU,53.2514,140.1822,-27.75,6,96,0.86,1639906134
Ciudad Río Bravo,MX,25.9833,-98.1,13.93,100,65,7.79,1639906136
Sitka,US,57.0531,-135.33,-2.06,75,74,2.57,1639906138
Hilo,US,19.7297,-155.09,21.55,90,46,4.12,1639906144
Samarai,PG,-10.6167,150.6667,27.99,34,72,4.3,1639906150
Traipu,BR,-9.9706,-37.0033,24.57,15,81,2.79,1639906154
Tromsø,NO,69.6496,18.957,2.01,40,87,3.6,1639906157
Progreso,MX,21.2833,-89.6667,23.39,54,91,2.82,1639905870
Iquique,CL,-20.2208,-70.1431,18.02,100,72,0.84,1639906169
Tshikapa,CD,-6.4167,20.8,29.64,37,64,0.38,1639906173
Kununurra,AU,-15.7667,128.7333,35.99,40,52,6.17,1639906174
Mossamedes,AO,-15.1961,12.1522,23.35,0,68,3.6,1639906180
Saint-Philippe,RE,-21.3585,55.7679,30.77,58,77,2.08,1639906187
Klamath Falls,US,42.2249,-121.7817,-5.02,75,90,1.54,1639906191
Nanortalik,GL,60.1432,-45.2371,2.79,100,77,9.09,1639906202
Desbiens,CA,48.4178,-71.9495,-8.49,100,92,2.96,1639906205
Ciudad Bolivar,VE,8.1222,-63.5497,23.47,91,92,3.51,1639906208
Tuatapere,NZ,-46.1333,167.6833,19.34,61,76,5.63,1639906211
Xiaoweizhai,CN,26.1903,107.5125,9.6,9,72,1.0,1639906213
Mahébourg,MU,-20.4081,57.7,30.16,40,62,4.12,1639906216
Lata,PT,40.1629,-8.3327,13.91,100,60,3.94,1639906219
Williams Lake,CA,52.1415,-122.1445,-11.24,75,90,2.06,1639906226
Havelock,US,34.8791,-76.9013,18.98,1,94,0.45,1639906229
Deputatsky,RU,69.3,139.9,-36.81,99,98,1.68,1639906231
Kruisfontein,ZA,-34.0033,24.7314,28.82,26,45,5.48,1639906236
Ponta do Sol,PT,32.6667,-17.1,20.0,90,88,6.01,1639906238
Aklavik,CA,68.2191,-135.0107,-21.54,91,99,1.73,1639906246
Margate,GB,51.3813,1.3862,4.54,86,89,3.64,1639906253
San Miguel de Tucumán,AR,-26.8241,-65.2226,23.0,0,83,1.03,1639906213
Joshīmath,IN,30.5667,79.5667,9.9,1,33,1.26,1639906261
Saldanha,ZA,-33.0117,17.9442,25.03,53,66,3.1,1639906264
Nokaneng,BW,-19.6667,22.2667,26.55,99,54,2.42,1639906266
Honiara,SB,-9.4333,159.95,25.4,100,90,0.88,1639906270
Tsaratanana,MG,-16.7833,47.65,33.27,66,46,3.91,1639906273
Husavik,IS,66.0449,-17.3389,2.95,100,85,6.13,1639906279
Puerto Ayacucho,VE,5.6639,-67.6236,23.18,88,89,2.67,1639906281
Pangnirtung,CA,66.1451,-65.7125,-2.72,100,85,6.09,1639906284
Rancharia,BR,-22.2292,-50.8931,19.51,5,85,5.12,1639906288
Beba,CU,22.4437,-79.7253,21.15,0,92,2.49,1639906291
Kirovsk,UA,48.6375,38.6428,-0.18,100,72,10.01,1639906293
Bauchi,NG,10.5,10.0,24.51,53,24,3.54,1639906295
San Cristobal,VE,7.7669,-72.225,19.53,99,90,0.99,1639906301
Camacha,PT,33.0833,-16.3333,18.07,20,82,8.75,1639906303
Honāvar,IN,14.2833,74.45,32.34,1,29,1.03,1639906309
Nikolskoye,RU,59.7035,30.7861,-0.34,100,93,4.4,1639906313
The Valley,AI,18.217,-63.0578,26.17,6,70,11.51,1639906318
Beringovskiy,RU,63.05,179.3167,2.55,100,95,10.38,1639906325
Talnakh,RU,69.4865,88.3972,-35.68,91,93,0.97,1639906327
Zhireken,RU,52.8249,117.3076,-18.09,100,99,1.11,1639906330
Hasaki,JP,35.7333,140.8333,4.22,0,34,3.35,1639906332
Vao,NC,-22.6667,167.4833,25.11,21,88,7.58,1639906335
Angoram,PG,-4.0625,144.0661,26.29,95,89,2.1,1639906338
Takoradze,GH,4.8845,-1.7554,29.17,86,64,3.47,1639906341
Tambura,SS,5.6,27.4667,33.94,50,20,2.92,1639906344
Arrondissement de Pontivy,FR,48.0,-3.0,4.58,6,84,5.24,1639906348
Örnsköldsvik,SE,63.2909,18.7153,2.9,55,75,8.23,1639906351
La Ronge,CA,55.1001,-105.2842,-18.86,90,78,2.06,1639906354
Fairbanks,US,64.8378,-147.7164,-9.02,90,85,1.54,1639906243
Xiongyue,CN,40.1774,122.1228,1.65,0,72,2.77,1639906359
Mehamn,NO,71.0357,27.8492,-2.57,96,88,6.18,1639906362
Barrow,US,71.2906,-156.7887,-20.99,75,77,4.12,1639906368
Skellefteå,SE,64.7507,20.9528,0.56,90,67,0.45,1639906373
Ucluelet,CA,48.9329,-125.5528,3.94,29,89,2.9,1639906376
Micheweni,TZ,-4.9667,39.8333,29.33,10,69,3.0,1639906386
Vestmannaeyjar,IS,63.4427,-20.2734,7.55,75,93,7.2,1639906407
Koulikoro,ML,14.0,-7.75,28.52,20,12,7.32,1639906409
Coyhaique,CL,-45.5752,-72.0662,13.34,73,81,1.03,1639906289
Aktau,KZ,43.65,51.2,6.32,100,78,3.37,1639906419
Faanui,PF,-16.4833,-151.75,26.8,98,73,4.39,1639906421
Kidal,ML,18.4411,1.4078,23.18,0,14,10.98,1639906435
Port-Gentil,GA,-0.7193,8.7815,29.98,40,74,3.6,1639906438
Namatanai,PG,-3.6667,152.4333,26.72,100,81,0.89,1639906447
Shubarshi,KZ,48.5872,57.1869,1.54,100,97,6.83,1639906449
Saint-Pierre,RE,-21.3393,55.4781,30.82,0,58,10.8,1639906457
Richards Bay,ZA,-28.783,32.0377,22.37,73,65,4.22,1639906459
Bazarnye Mataki,RU,54.8833,49.9333,-6.26,95,96,1.83,1639906466
Ojinaga,MX,29.5667,-104.4167,8.01,1,75,2.57,1639906470
Pacific Grove,US,36.6177,-121.9166,9.78,1,87,2.24,1639906363
Broken Hill,AU,-31.95,141.4333,27.84,17,23,9.77,1639906337
Mount Isa,AU,-20.7333,139.5,24.87,90,78,11.32,1639906489
Ahipara,NZ,-35.1667,173.1667,15.06,29,84,1.61,1639906493
Mayumba,GA,-3.432,10.6554,28.23,84,73,3.28,1639906496
Irámuco,MX,19.95,-100.9167,12.32,75,82,0.0,1639906506
Saint George,US,37.1041,-113.5841,1.26,1,80,0.0,1639906510
Kui Buri,TH,12.0828,99.8543,26.0,100,66,4.32,1639906512
Trairi,BR,-3.2778,-39.2689,28.46,95,69,5.26,1639906521
Ulladulla,AU,-35.35,150.4667,25.61,100,66,4.73,1639906525
Cidreira,BR,-30.1811,-50.2056,21.41,89,72,7.88,1639906539
Pāsighāt,IN,28.0667,95.3333,20.72,0,44,0.45,1639906541
Provideniya,RU,64.3833,-173.3,-9.55,100,96,4.83,1639906546
Champerico,GT,14.3,-91.9167,26.13,19,83,3.11,1639906552
East London,ZA,-33.0153,27.9116,24.52,0,60,8.23,1639906554
Mabai,CN,23.0128,104.4508,9.85,95,72,1.88,1639906559
Zhigansk,RU,66.7697,123.3711,-46.01,72,99,1.69,1639906561
Itupiranga,BR,-5.1347,-49.3267,23.18,100,99,0.45,1639906476
Sainte-Suzanne,RE,-20.9061,55.6089,31.12,0,67,11.83,1639906567
Udachny,RU,66.4167,112.4,-40.31,100,80,2.55,1639906412
Biak,ID,-0.9131,122.8766,26.61,76,80,1.06,1639906578
Egvekinot,RU,66.3167,-179.1667,-15.38,100,95,6.48,1639906581
Labuhan,ID,-6.8844,112.2051,29.4,73,71,3.03,1639906588
Palmer,US,42.1584,-72.3287,3.33,90,84,0.45,1639906461
Anadyr,RU,64.75,177.4833,-2.72,90,100,16.99,1639906603
Kuril'sk,RU,45.2333,147.8833,-4.29,100,69,7.63,1639906607
Norman Wells,CA,65.282,-126.8329,-17.98,90,78,0.0,1639906609
Marabu,MY,4.4148,114.0089,30.08,40,70,2.06,1639906613
Varangaon,IN,21.0167,75.9,25.48,0,25,2.82,1639906622
Half Moon Bay,US,37.4636,-122.4286,8.29,1,92,0.0,1639906447
Alofi,NU,-19.0595,-169.9187,25.94,20,83,4.12,1639906642
Port Hardy,CA,50.6996,-127.4199,5.0,20,100,1.54,1639906645
Bom Jesus,BR,-9.0744,-44.3586,25.12,99,73,0.62,1639906649
Iskateley,RU,67.6803,53.1512,-30.05,41,95,4.06,1639906651
Nioro,GM,13.35,-15.75,26.32,71,34,7.2,1639906654
Al Bardīyah,LY,31.7561,25.0865,12.64,1,47,10.24,1639906662
Buraidah,SA,26.326,43.975,17.25,89,50,0.47,1639906669
Helsinki,FI,60.1695,24.9355,1.56,75,85,3.58,1639906381
Vila Velha,BR,-20.3297,-40.2925,23.3,90,86,1.79,1639906675
Awjilah,LY,29.1081,21.2869,10.28,98,77,7.91,1639906678
Sheridan,US,44.8333,-106.9173,7.1,1,58,2.06,1639906682
Katsuura,JP,35.1333,140.3,10.66,0,63,5.74,1639906690
Ormara,PK,25.2088,64.6357,21.38,3,59,2.62,1639906694
Altay,CN,47.8667,88.1167,-7.41,38,63,3.11,1639906697
Būlaevo,KZ,54.9056,70.4439,-4.65,100,95,4.21,1639906699
Pevek,RU,69.7008,170.3133,-24.19,100,88,2.21,1639906704
Hervey Bay,AU,-25.2986,152.8535,26.06,4,74,5.64,1639906552
Kokologo,BF,12.1897,-1.8856,24.92,5,13,8.11,1639906709
Dakar,SN,14.6937,-17.4441,23.07,0,83,9.77,1639906713
Kendari,ID,-3.945,122.4989,26.93,100,82,1.67,1639906716
Tilichiki,RU,60.4667,166.1,-26.6,11,96,2.72,1639906719
Kudahuvadhoo,MV,2.6708,72.8944,27.67,100,77,5.63,1639906724
Portales,US,34.1862,-103.3344,-3.92,35,48,3.34,1639906643
Henderson,US,36.0397,-114.9819,5.69,1,46,2.57,1639906576
Buala,SB,-8.145,159.5921,26.37,85,84,1.45,1639906733
Cavalcante,BR,-13.7975,-47.4583,22.31,81,86,0.4,1639906738
Enshi,CN,30.3,109.4833,10.23,91,69,0.33,1639906747
Tyrma,RU,50.0833,132.1667,-25.41,94,99,0.57,1639906752
Morondava,MG,-20.2833,44.2833,29.78,16,66,5.68,1639906762
Vitré,FR,48.1178,-1.2058,5.9,10,83,4.63,1639906766
Matara,LK,5.9485,80.5353,27.36,98,79,1.69,1639906778
Puerto Escondido,MX,15.85,-97.0667,24.72,90,73,2.2,1639906782
Rawlins,US,41.7911,-107.2387,1.12,1,42,1.54,1639906787
Maple Creek,CA,49.9168,-109.4848,1.23,96,80,6.53,1639906791
Korla,CN,41.7597,86.1469,-2.1,10,47,2.17,1639906801
Abu Kamal,SY,34.4506,40.9171,17.75,2,33,4.43,1639906806
Los Llanos de Aridane,ES,28.6585,-17.9182,19.86,20,40,2.06,1639906808
Tateyama,JP,34.9833,139.8667,10.61,2,60,6.91,1639906811
Tura,IN,25.5198,90.2201,20.72,0,52,2.33,1639906814
Taoudenni,ML,22.6783,-3.9836,25.61,37,14,5.15,1639906816
Valparaíso,CL,-33.0393,-71.6273,14.51,75,94,2.06,1639906820
Lodja,CD,-3.4833,23.4333,32.92,88,41,2.25,1639906822
Dalbandin,PK,28.8947,64.4101,21.97,33,9,0.79,1639906825
Barra Patuca,HN,15.8,-84.2833,23.53,90,90,2.51,1639906827
Burnie,AU,-41.0667,145.9167,12.19,26,65,7.79,1639906830
Kanniyākumāri,IN,8.0833,77.5667,28.72,84,60,8.92,1639906836
Frontera,MX,26.9333,-101.45,10.18,95,56,0.89,1639906838
Bandarbeyla,SO,9.4942,50.8122,27.46,81,62,8.08,1639906841
Tual,ID,-5.6667,132.75,29.38,80,69,1.12,1639906844
Sète,FR,43.4018,3.6966,8.27,0,80,1.44,1639906846
Pacifica,US,37.6138,-122.4869,7.93,75,87,1.79,1639906849
Nouadhibou,MR,20.931,-17.0347,17.99,100,77,5.14,1639906853
Cayenne,GF,4.9333,-52.3333,26.72,40,85,0.89,1639906859
Lázaro Cárdenas,MX,17.9583,-102.2,23.33,98,81,1.11,1639906864
Toora-Khem,RU,52.4675,96.11,-11.15,100,96,0.57,1639906867
Plungė,LT,55.9114,21.8442,2.33,59,74,7.08,1639906882
Bambanglipuro,ID,-7.95,110.2833,22.56,100,80,1.38,1639906886
Storsteinnes,NO,69.2408,19.2344,2.0,99,98,2.31,1639906890
Tangping,CN,22.0265,111.9323,15.99,100,30,2.03,1639906893
Hofn,IS,64.2539,-15.2082,4.94,100,86,4.04,1639906919
Luancheng,CN,37.8792,114.6517,9.09,100,28,0.96,1639906922
Panzhihua,CN,26.5851,101.7128,15.9,6,63,0.96,1639906925
Kiryat Gat,IL,31.61,34.7642,17.1,1,40,8.35,1639906804
Cherskiy,RU,68.75,161.3,-29.58,100,96,0.86,1639906943
Cehegín,ES,38.0924,-1.7985,11.82,100,80,1.41,1639906946
Kütahya,TR,39.4242,29.9833,1.94,100,94,5.98,1639906953
Lakhīmpur,IN,27.95,80.7667,19.29,0,29,3.91,1639906957
Dno,RU,57.8277,29.9637,-0.28,100,89,5.63,1639906961
Prince Albert,CA,53.2001,-105.7677,-17.03,90,71,4.12,1639906858
Yumen,CN,40.2833,97.2,-1.59,0,27,8.58,1639906976
Zacatlán,MX,19.9333,-97.9667,11.46,96,66,1.66,1639906978
Laas,IT,46.6166,10.7002,3.49,1,70,2.81,1639906983
Zapolyarnyy,RU,69.4154,30.8136,-7.4,90,97,2.38,1639906987
Kaitangata,NZ,-46.2817,169.8464,17.29,86,65,2.45,1639906992
Kargasok,RU,59.0556,80.8572,-29.96,69,97,2.59,1639907000
Grand-Santi,GF,4.25,-54.3833,21.81,83,100,0.95,1639907003
Halvad,IN,23.0167,71.1833,25.46,0,15,4.8,1639907016
College,US,64.8569,-147.8028,-9.03,90,85,1.54,1639906968
Ginir,ET,7.1333,40.7,20.4,65,61,2.93,1639907026
Healdsburg,US,38.6105,-122.8692,7.14,20,86,1.54,1639907028
Anking,CN,30.5092,117.0506,11.0,6,28,1.78,1639907030
Newport,GB,51.5877,-2.9984,6.15,65,94,2.78,1639906878
Camapuã,BR,-19.5314,-54.0439,23.21,100,92,1.66,1639907038
Nelson Bay,AU,-32.7167,152.15,24.49,97,70,0.89,1639907047
Staryy Saltiv,UA,50.0827,36.7939,0.32,100,92,10.27,1639907053
Mundgod,IN,14.9667,75.0333,26.32,0,30,5.0,1639907055
Ko Samui,TH,9.5357,99.9357,28.95,20,65,5.14,1639907062
Miraflores,MX,19.2167,-98.8083,13.35,94,74,1.15,1639907064
Boca do Acre,BR,-8.7522,-67.3978,23.23,100,99,0.41,1639907068
Vardø,NO,70.3705,31.1107,-2.47,100,78,7.88,1639907070
Bambous Virieux,MU,-20.3428,57.7575,30.14,40,62,4.12,1639907073
Sechura,PE,-5.5569,-80.8222,20.32,100,80,4.41,1639907076
Matamba,TZ,-8.9833,33.9667,18.34,67,77,1.75,1639907079
São Filipe,CV,14.8961,-24.4956,23.77,98,70,4.2,1639907081
Lahijan,IR,37.2061,50.0029,19.88,0,44,1.54,1639907088
Graneros,CL,-34.0667,-70.7333,17.45,0,45,0.67,1639907090
Pisco,PE,-13.7,-76.2167,17.23,20,94,1.54,1639907103
Talcahuano,CL,-36.7167,-73.1167,12.82,0,88,3.6,1639907105
San Isidro,PE,-12.1167,-77.05,19.45,90,84,3.6,1639907111
Vaitape,PF,-16.5167,-151.75,26.81,99,73,4.43,1639907116
Geraldton,AU,-28.7667,114.6,23.23,0,64,9.77,1639907121
Inongo,CD,-1.95,18.2667,26.05,91,74,0.54,1639907130
Chinsali,ZM,-10.5414,32.0816,24.16,91,65,1.7,1639907137
Lucea,JM,18.451,-78.1736,24.92,22,80,4.49,1639907139
Novikovo,RU,51.1537,37.8879,-0.69,100,94,10.07,1639907141
Ostrovnoy,RU,68.0531,39.5131,-9.52,100,81,7.73,1639907149
Kewanee,US,41.2456,-89.9248,-2.38,8,87,1.85,1639907152
Maniitsoq,GL,65.4167,-52.9,0.13,100,71,6.2,1639907157
